Anomali_1,((239.5, 262.0), (91.5, 244.0))
Anomali_2,((173.0, 286.0), (316.5, 224.0))
Anomali_3,((316.5, 224.0), (254.5, 105.5))
Anomali_4,((254.5, 105.5), (238.0, 238.0))
Anomali_5,((187.0, 251.0), (51.5, 242.5))
Anomali_6,((51.5, 242.5), (227.0, 321.0))
Anomali_7,((227.0, 321.0), (586.5, 208.5))
Anomali_8,((586.5, 208.5), (754.0, 150.5))
Anomali_9,((760.5, 186.5), (541.5, 257.5))
Anomali_10,((576.5, 170.0), (829.0, 133.0))
Anomali_11,((829.0, 133.0), (803.5, 251.0))
Anomali_12,((803.5, 251.0), (738.5, 376.0))
Anomali_13,((738.5, 376.0), (673.5, 278.0))
Anomali_14,((673.5, 278.0), (346.0, 101.5))
Anomali_15,((283.0, 105.0), (411.5, 276.5))
Anomali_16,((407.0, 196.0), (318.0, 94.5))
Anomali_17,((318.0, 94.5), (437.5, 251.5))
Anomali_18,((450.0, 261.0), (254.0, 235.0))
Anomali_19,((254.0, 235.0), (453.5, 317.5))
Anomali_20,((453.5, 317.5), (428.0, 213.0))
Anomali_21,((428.0, 213.0), (222.5, 172.0))
Anomali_22,((118.5, 81.5), (416.0, 73.5))
Anomali_23,((416.0, 73.5), (522.0, 119.0))
Anomali_24,((522.0, 119.0), (267.0, 176.5))
Anomali_25,((267.0, 176.5), (483.0, 126.5))
Anomali_26,((483.0, 126.5), (759.5, 93.5))
Anomali_27,((759.5, 93.5), (625.0, 186.0))
Anomali_28,((625.0, 186.0), (235.5, 336.0))
Anomali_29,((184.5, 349.0), (436.5, 312.0))
Anomali_30,((436.5, 312.0), (302.5, 182.0))
Anomali_31,((302.5, 182.0), (68.5, 42.0))
Anomali_32,((68.5, 42.0), (52.0, 174.5))
Anomali_33,((52.0, 174.5), (172.0, 331.0))
Anomali_34,((172.0, 331.0), (338.0, 394.5))
Anomali_35,((338.0, 394.5), (430.0, 330.0))
Anomali_36,((430.0, 330.0), (537.5, 254.5))
Anomali_37,((537.5, 254.5), (427.5, 350.5))
Anomali_38,((427.5, 350.5), (231.0, 324.5))
Anomali_39,((231.0, 324.5), (157.0, 212.0))
Anomali_40,((157.0, 212.0), (156.0, 111.0))
Anomali_41,((156.0, 111.0), (348.0, 57.0))
Anomali_42,((384.0, 70.5), (153.0, 132.0))
Anomali_43,((153.0, 132.0), (67.0, 232.5))
Anomali_44,((67.0, 232.5), (366.0, 325.0))
Anomali_45,((366.0, 325.0), (494.5, 274.0))
Anomali_46,((494.5, 274.0), (250.0, 240.5))
Anomali_47,((250.0, 240.5), (185.5, 365.5))
Anomali_48,((185.5, 365.5), (160.0, 260.5))
Anomali_49,((160.0, 260.5), (65.0, 123.0))
Anomali_50,((110.5, 151.5), (264.5, 205.5))
Anomali_51,((264.5, 205.5), (504.5, 159.0))
Anomali_52,((504.5, 159.0), (347.5, 126.0))
Anomali_53,((347.5, 126.0), (382.5, 261.0))
Anomali_54,((382.5, 261.0), (621.0, 336.0))
Anomali_55,((621.0, 336.0), (450.5, 192.5))
Anomali_56,((450.5, 192.5), (425.0, 87.5))
Anomali_57,((425.0, 87.5), (266.5, 176.5))
Anomali_58,((266.5, 176.5), (467.5, 137.5))
Anomali_59,((467.5, 137.5), (514.0, 44.0))
Anomali_60,((514.0, 44.0), (295.0, 115.0))
Anomali_61,((295.0, 115.0), (221.5, 225.0))
Anomali_62,((221.5, 225.0), (365.5, 163.0))
Anomali_63,((347.0, 194.5), (345.5, 94.0))
Anomali_64,((345.5, 94.0), (164.5, 279.5))
Anomali_65,((164.5, 279.5), (559.0, 286.5))
Anomali_66,((559.0, 286.5), (533.5, 182.0))
Anomali_67,((533.5, 182.0), (183.0, 325.0))
Anomali_68,((183.0, 325.0), (446.0, 404.0))
Anomali_69,((446.0, 404.0), (614.0, 346.0))
Anomali_70,((614.0, 346.0), (457.0, 313.0))
Anomali_71,((510.0, 255.0), (569.0, 171.5))
Anomali_72,((569.0, 171.5), (543.5, 289.5))
Anomali_73,((543.5, 289.5), (192.0, 332.0))
Anomali_74,((192.0, 332.0), (297.5, 155.0))
Anomali_75,((365.5, 86.5), (340.0, 204.5))
Anomali_76,((340.0, 204.5), (314.5, 322.0))
Anomali_77,((314.5, 322.0), (250.0, 224.5))
Anomali_78,((250.0, 224.5), (525.0, 90.5))
Anomali_79,((525.0, 90.5), (414.5, 187.0))
Anomali_80,((435.5, 212.0), (434.0, 111.0))
Anomali_81,((434.0, 111.0), (287.5, 193.5))
Anomali_82,((348.0, 211.0), (492.0, 149.0))
Anomali_83,((492.0, 149.0), (572.5, 312.5))
Anomali_84,((572.5, 312.5), (329.5, 380.0))
Anomali_85,((329.5, 380.0), (437.0, 304.5))
Anomali_86,((523.0, 281.0), (715.0, 227.0))
Anomali_87,((715.0, 227.0), (342.0, 244.5))
Anomali_88,((342.0, 244.5), (38.5, 294.0))
Anomali_89,((38.5, 294.0), (408.5, 297.5))
Anomali_90,((408.5, 297.5), (538.5, 347.5))
Anomali_91,((538.5, 347.5), (404.5, 217.5))
Anomali_92,((404.5, 217.5), (596.5, 163.0))
Anomali_93,((593.5, 184.0), (444.0, 287.5))
Anomali_94,((444.0, 287.5), (587.5, 225.5))
Anomali_95,((587.5, 225.5), (731.0, 163.5))
Anomali_96,((731.0, 163.5), (343.0, 192.0))
Anomali_97,((343.0, 192.0), (63.5, 245.5))
Anomali_98,((63.5, 245.5), (277.0, 215.5))
Anomali_99,((277.0, 215.5), (538.5, 193.5))
Anomali_100,((538.5, 193.5), (381.5, 383.0))
Anomali_101,((392.5, 292.0), (498.0, 115.5))
Anomali_102,((498.0, 115.5), (374.0, 101.0))
Anomali_103,((335.0, 108.5), (240.0, 194.0))
Anomali_104,((240.0, 194.0), (478.5, 269.0))
Anomali_105,((500.0, 293.5), (258.5, 239.0))
Anomali_106,((258.5, 239.0), (365.5, 163.5))
Anomali_107,((365.5, 163.5), (495.5, 213.5))
Anomali_108,((456.5, 220.5), (323.5, 191.0))
Anomali_109,((384.0, 208.5), (275.5, 183.5))
Anomali_110,((275.5, 183.5), (141.0, 276.0))
Anomali_111,((141.0, 276.0), (355.5, 347.0))
Anomali_112,((355.5, 347.0), (438.5, 267.5))
Anomali_113,((438.5, 267.5), (242.5, 242.0))
Anomali_114,((242.5, 242.0), (335.0, 177.5))
Anomali_115,((335.0, 177.5), (454.5, 111.5))
Anomali_116,((454.5, 111.5), (380.5, 221.5))
Anomali_117,((380.5, 221.5), (472.5, 379.5))
Anomali_118,((472.5, 379.5), (447.0, 274.5))
Anomali_119,((447.0, 274.5), (242.0, 233.5))
Anomali_120,((242.0, 233.5), (456.5, 305.0))
Anomali_121,((456.5, 305.0), (657.5, 265.5))
Anomali_122,((657.5, 265.5), (352.5, 214.5))
Anomali_123,((352.5, 214.5), (145.5, 295.5))
Anomali_124,((227.5, 337.5), (427.0, 197.5))
Anomali_125,((427.0, 197.5), (664.5, 171.5))
Anomali_126,((664.5, 171.5), (461.0, 231.5))
Anomali_127,((548.5, 309.0), (499.0, 200.5))
Anomali_128,((499.0, 200.5), (691.0, 146.0))
Anomali_129,((675.5, 157.0), (505.0, 236.0))
Anomali_130,((505.0, 236.0), (431.5, 346.0))
Anomali_131,((431.5, 346.0), (644.5, 316.5))
Anomali_132,((644.5, 316.5), (496.5, 298.5))
Anomali_133,((448.0, 290.5), (315.0, 261.5))
Anomali_134,((315.0, 261.5), (143.0, 239.5))
Anomali_135,((143.0, 239.5), (487.5, 360.5))
Anomali_136,((412.5, 370.0), (206.0, 228.5))
Anomali_137,((206.0, 228.5), (528.0, 224.0))
Anomali_138,((528.0, 224.0), (620.5, 159.0))
Anomali_139,((641.5, 183.5), (676.0, 319.0))
Anomali_140,((676.0, 319.0), (324.5, 361.0))
Anomali_141,((324.5, 361.0), (175.5, 242.0))
Anomali_142,((175.5, 242.0), (461.0, 224.0))
Anomali_143,((461.0, 224.0), (606.0, 263.0))
Anomali_144,((606.0, 263.0), (473.0, 234.0))
Anomali_145,((473.0, 234.0), (625.5, 186.5))
Anomali_146,((645.5, 110.0), (535.5, 206.5))
Anomali_147,((484.0, 219.5), (650.5, 283.0))
Anomali_148,((650.5, 283.0), (492.0, 149.5))
Anomali_149,((428.5, 152.5), (620.5, 320.5))
Anomali_150,((620.5, 320.5), (487.5, 291.5))
Anomali_151,((487.5, 291.5), (147.5, 328.0))
Anomali_152,((147.5, 328.0), (326.0, 385.5))
Anomali_153,((326.0, 385.5), (432.0, 209.0))
Anomali_154,((432.0, 209.0), (334.0, 92.5))
Anomali_155,((334.0, 92.5), (500.5, 155.5))
Anomali_156,((500.5, 155.5), (484.0, 288.5))
Anomali_157,((484.0, 288.5), (434.5, 402.5))
Anomali_158,((407.5, 419.0), (211.0, 393.5))
Anomali_159,((211.0, 393.5), (185.5, 289.0))
Anomali_160,((255.0, 321.0), (493.5, 396.0))
Anomali_161,((493.5, 396.0), (768.5, 262.5))
Anomali_162,((702.5, 286.0), (375.0, 109.5))
Anomali_163,((384.5, 140.0), (343.5, 269.0))
Anomali_164,((365.0, 294.0), (339.5, 189.0))
Anomali_165,((339.5, 189.0), (445.0, 235.0))
